rating,date,context,context_cleaned,text_len,word_count,rating_group,is_positive,year,month,day,weekday,weekday_num,year_month,text_has_emoji,text_has_url,top_keywords,tfidf_vector_1,tfidf_vector_2,tfidf_vector_3,tfidf_vector_4,tfidf_vector_5,tfidf_vector_6,tfidf_vector_7,tfidf_vector_8,tfidf_vector_9,tfidf_vector_10,tfidf_vector_11,tfidf_vector_12,tfidf_vector_13,tfidf_vector_14,tfidf_vector_15,tfidf_vector_16,tfidf_vector_17,tfidf_vector_18,tfidf_vector_19,tfidf_vector_20
5.0,2026-01-10,"So Lucky to have seen all the Pandas. AiBao, Lebao, Ruibao and Huibao 🐼🐼🐼🐼","So Lucky to have seen all the Pandas. AiBao, Lebao, Ruibao and Huibao 🐼🐼🐼🐼",74,14,높음(4-5),1,2026,1,10,Saturday,5,2026-01,1,0,pandas,0.06006363109492239,0.0392367290115049,-0.004198451330923179,0.0023436374670710498,-0.013598659624134405,-0.03279827665941836,-0.08354620927815416,-0.025431958433948125,0.036751453303594146,-0.017983583942168035,0.15164969988263308,0.15190541578537586,-0.03569141105377146,-0.023659547071910737,-0.1471347543035033,0.07507363117559113,-0.007343426647267215,-0.05417482333170443,0.29267475632034584,-0.13348143928403114
4.0,2026-01-09,"hari hujan seharian pas kami kesana tanggal 10 oktober 2025, tapi lumayan dapat beberapa atraksi-atraksi kecil yang ga rame, paling seru naik amazon express, btw perjalanan ke everland jauh banget dari pusat seoul tapi bisa ditempuh pakai transum","hari hujan seharian pas kami kesana tanggal 10 oktober 2025, tapi lumayan dapat beberapa atraksi-atraksi kecil yang ga rame, paling seru naik amazon express, btw perjalanan ke everland jauh banget dari pusat seoul tapi bisa ditempuh pakai transum",246,38,높음(4-5),1,2026,1,9,Friday,4,2026-01,0,0,"10, seoul, everland",0.19255450737181715,0.02833119813132154,-0.04887887391366282,-0.04556632016865389,0.09964283274149244,0.09719868788728134,0.18183555020639874,-0.17406717902688756,-0.0032800595437466823,-0.1281109790775176,-0.03622332568400055,0.05141056856919913,-0.0040145979494317745,-0.013288994982231087,-0.25590771760488656,0.04702928513427197,0.06225554209548058,-0.043810985582441064,0.22159417446464222,0.14444536641736586
5.0,2020-02-02,"If you want to go to Korea and enjoy exciting activities, you must go to Everland!

Since I live near Gangnam

There were two ways to get there:

(1) Take bus No. 5002 from Exit 10 of Gangnam Station (Seoul Subway Line 2), 200 meters ahead. It runs every 30 minutes. 5002: via Sincheon Station - Gangnam Station - Yangjae Station.

Travel time: 40-50 minutes, fare: 2,500 won (one way)

Advantages: You can freely choose your time, and the last bus can be as late as 10 o'clock to watch the evening parade of Everland.

Disadvantages: Buses run every 30 minutes, and many people have to queue up. If the bus is full, you are not allowed to get on.

Note: You need to swipe your card when getting on the bus and before getting off the bus. Remember to press the red button next to the door before getting off the bus.
(2) One-day tour with pick-up: 360/person (including tickets) Hotel pick-up provided 11:00-15:00 Everland free time → 16:00-17:00 Shilla Duty Free Shop → 17:00 back to the hotel
Finally, I signed up for a one-day tour because I didn’t want to bother. It was very nice to have only two of us in the car that day. The driver also took us to the next itinerary very well.
Everland consists of 5 major theme areas - Earth Shopping Center, American Adventure Zone, Magic Park, European Adventure Zone, and Equator Adventure Zone. Each theme area has different adventures and romance.
Address: 310, Cheondae-ri, Pogo-eup, Cheorin-gu, Yongin-si, Gyeonggi-do
Opening hours: Weekdays 10:00~22:00; Saturdays 10:00~20:00; Weekends and holidays 09:30~22:00
Tickets: Adults 44,000 won (about 238 RMB)
1. Practical information
Safe deposit box: Rental: Small - 1,000 won (5 RMB), Large - 2,000 won (about 10 RMB) [Must use 500 won (about 2 RMB) coins]
2. Recommended tour routes:
Global Market → American Adventure → Magic World → European Adventure → Zoo
American Adventure
Tornado (Big Pendulum) - Champion Rod - Columbus Adventure (Pirate Ship) - Double Rock Spin (Big Swing) - Twist and Turn (Windmill Swing) - Roller Coaster
Magic World
Surfing Airship (Whitewater Bravery) - Magic Swing (U-Shaped)
European Adventure
Wooden Roller Coaster (Q-Pass Voucher Available, If Not Available on the Official Website, You Can Purchase It on the Spot) - Rotating House
Zoo
Lost Canyon (last Valley Water Vehicle)-Amazon Rafting Adventure
Selected 2 routes:
Tornado-Double Rock Spin-Twist-Roller Coaster-Roader-Revolving House-Bumper Car-Columbus Adventure-Champion Rod
Tornado-Champion Rod-Columbus Adventure-Double Rock Spin-Bumper Car-Surfing Airship-Twist-Roader-Magic Swing-Wooden Roller Coaster-Lost Canyon-Amazon Rafting
The queue for the wooden roller coaster was so long that I doubted my life, but it was really exciting. It’s best not to wear earrings or anything like that. My friend’s earrings were knocked off.","If you want to go to Korea and enjoy exciting activities, you must go to Everland! Since I live near Gangnam There were two ways to get there: (1) Take bus No. 5002 from Exit 10 of Gangnam Station (Seoul Subway Line 2), 200 meters ahead. It runs every 30 minutes. 5002: via Sincheon Station - Gangnam Station - Yangjae Station. Travel time: 40-50 minutes, fare: 2,500 won (one way) Advantages: You can freely choose your time, and the last bus can be as late as 10 o'clock to watch the evening parade of Everland. Disadvantages: Buses run every 30 minutes, and many people have to queue up. If the bus is full, you are not allowed to get on. Note: You need to swipe your card when getting on the bus and before getting off the bus. Remember to press the red button next to the door before getting off the bus. (2) One-day tour with pick-up: 360/person (including tickets) Hotel pick-up provided 11:00-15:00 Everland free time → 16:00-17:00 Shilla Duty Free Shop → 17:00 back to the hotel Finally, I signed up for a one-day tour because I didn’t want to bother. It was very nice to have only two of us in the car that day. The driver also took us to the next itinerary very well. Everland consists of 5 major theme areas - Earth Shopping Center, American Adventure Zone, Magic Park, European Adventure Zone, and Equator Adventure Zone. Each theme area has different adventures and romance. Address: 310, Cheondae-ri, Pogo-eup, Cheorin-gu, Yongin-si, Gyeonggi-do Opening hours: Weekdays 10:00~22:00; Saturdays 10:00~20:00; Weekends and holidays 09:30~22:00 Tickets: Adults 44,000 won (about 238 RMB) 1. Practical information Safe deposit box: Rental: Small - 1,000 won (5 RMB), Large - 2,000 won (about 10 RMB) [Must use 500 won (about 2 RMB) coins] 2. Recommended tour routes: Global Market → American Adventure → Magic World → European Adventure → Zoo American Adventure Tornado (Big Pendulum) - Champion Rod - Columbus Adventure (Pirate Ship) - Double Rock Spin (Big Swing) - Twist and Turn (Windmill Swing) - Roller Coaster Magic World Surfing Airship (Whitewater Bravery) - Magic Swing (U-Shaped) European Adventure Wooden Roller Coaster (Q-Pass Voucher Available, If Not Available on the Official Website, You Can Purchase It on the Spot) - Rotating House Zoo Lost Canyon (last Valley Water Vehicle)-Amazon Rafting Adventure Selected 2 routes: Tornado-Double Rock Spin-Twist-Roller Coaster-Roader-Revolving House-Bumper Car-Columbus Adventure-Champion Rod Tornado-Champion Rod-Columbus Adventure-Double Rock Spin-Bumper Car-Surfing Airship-Twist-Roader-Magic Swing-Wooden Roller Coaster-Lost Canyon-Amazon Rafting The queue for the wooden roller coaster was so long that I doubted my life, but it was really exciting. It’s best not to wear earrings or anything like that. My friend’s earrings were knocked off.",2814,451,높음(4-5),1,2020,2,2,Sunday,6,2020-02,0,0,"adventure, 10, bus, coaster, roller coaster",0.3152343289683205,0.019721281277771653,-0.011415502937655381,-0.13033175920654638,-0.18324505302518912,0.051534204238584194,-0.15530706821496504,-0.2861542344738544,-0.06422507935740793,-0.10837257467378632,-0.22158610554224578,0.004143307835062731,0.16564794759235535,-0.05439667424763845,-0.04985080766490238,-0.011015378541937182,0.030149658845932147,-0.08980654097300199,0.10188623891259734,0.1641185487369048
5.0,2024-11-02,"Everland is located in Yongin, Gyeonggi Province, South Korea. It is a super fun place.

There are all kinds of exciting rides, such as roller coasters, bungee jumping machines, etc., as well as gentle projects suitable for children, which can make the whole family have fun.

There are also wonderful performances in the park, such as animal performances, circus performances, etc., which are very interesting.

By the way, Everland has many cute animals to see, such as pandas, giraffes, elephants, etc., which children will definitely like.

In short, Everland is a good place for you to have fun and enjoy parent-child time.","Everland is located in Yongin, Gyeonggi Province, South Korea. It is a super fun place. There are all kinds of exciting rides, such as roller coasters, bungee jumping machines, etc., as well as gentle projects suitable for children, which can make the whole family have fun. There are also wonderful performances in the park, such as animal performances, circus performances, etc., which are very interesting. By the way, Everland has many cute animals to see, such as pandas, giraffes, elephants, etc., which children will definitely like. In short, Everland is a good place for you to have fun and enjoy parent-child time.",624,102,높음(4-5),1,2024,11,2,Saturday,5,2024-11,0,0,"fun, children, everland, place, south korea",0.5769862816412592,-0.2572335710797406,-0.15744378889597482,0.036452548573349466,0.002085783511454531,-0.12004043150697724,0.10874286453389373,-0.13544098585473724,0.10114090553389343,0.10652526158312313,-0.027262718268155104,0.03183820688746847,0.17704998516946377,0.14252840151144364,-0.15765251172005224,0.008430986602316455,0.02562935261058761,0.1393334872408362,-0.008148146545637293,-0.2695880392561881
5.0,2024-07-29,"“It’s Never Too Late for Christmas Vibes at the End of the Year”This year, Everland has once again turned into a Christmas village. The amusement park's large Christmas-decorated garden and photo spots are especially popular among visitors. You will be able to fully enjoy this year's Chrismas vibes as you enjoy Everland's limited edition parade as well.📍199 Everland-ro, Pogog-eup, Cheoin-gu, Yongin-si, Gyeonggi-do","“It’s Never Too Late for Christmas Vibes at the End of the Year”This year, Everland has once again turned into a Christmas village. The amusement park's large Christmas-decorated garden and photo spots are especially popular among visitors. You will be able to fully enjoy this year's Chrismas vibes as you enjoy Everland's limited edition parade as well.📍199 Everland-ro, Pogog-eup, Cheoin-gu, Yongin-si, Gyeonggi-do",417,62,높음(4-5),1,2024,7,29,Monday,0,2024-07,1,0,"everland, especially, large, amusement park, amusement",0.4054858591303709,-0.11992595308703725,0.25625352572448573,-0.05000734113244513,0.20707850260105987,-0.02745027555548437,0.24698093332698848,-0.16179831361966726,0.08884227947718422,-0.08589295967328422,-0.02909909088589426,0.04362137420417753,0.04735139892936361,0.3379753842898835,-0.16112203397982994,-0.07426914996603078,0.17538958571046906,-0.1823898751033922,-0.019414668508790034,0.19914394979454828
5.0,2024-08-20,"Everland Resort is an amusement park and holiday resort located in Yongin, Gyeonggi-do, South Korea. This place is very large and beautiful. There are many attractions here, photo spots where there is a flower garden that is good because it is full of colors.","Everland Resort is an amusement park and holiday resort located in Yongin, Gyeonggi-do, South Korea. This place is very large and beautiful. There are many attractions here, photo spots where there is a flower garden that is good because it is full of colors.",259,44,높음(4-5),1,2024,8,20,Tuesday,1,2024-08,0,0,"south korea, south, large, attractions, beautiful",0.4294887720506998,-0.28784402327599146,0.32601047158940394,0.19502910925664568,0.18786019858810607,0.03909601928993791,0.14323352121723312,-0.05425716736190073,0.15619532152309246,-0.02151519284724151,0.01467341060646409,-0.024644401647178342,0.18337904444597863,0.05528868106492746,0.17457588269365729,-0.16077188503159612,-0.0692810194402657,-0.006503621078044274,0.10083401974066714,-0.11032491469321389
5.0,2024-08-07,"it was definitely one of the most exciting day during my trip in South Korea. if you are planning to visit South Korea, Everland is 100% where you wanna go. u can stay there for a whole day but still not enough!!!! have fun!!!","it was definitely one of the most exciting day during my trip in South Korea. if you are planning to visit South Korea, Everland is 100% where you wanna go. u can stay there for a whole day but still not enough!!!! have fun!!!",226,44,높음(4-5),1,2024,8,7,Wednesday,2,2024-08,0,0,"south korea, south, korea, day, exciting",0.3304090047948586,-0.14686994539562634,0.018825062222807505,-0.1325821695467312,0.11783350686521014,-0.016550693332668155,0.2802540666262645,-0.10733036499266332,0.1380101426220896,-0.0655152123619983,0.0059292647974267775,-0.0012355870887275462,0.2406034340658035,-0.027737845827151386,0.33947486769492563,-0.09969485714559724,-0.08325939593913487,0.2921219828180428,0.044551197139592165,-0.09826491900229571
5.0,2019-04-27,"Everland is the leading amusement park in South Korea. It is invested by Samsung Group and has been open for more than ten years. It has always been very popular. For this reason, we specially chose a non-weekend time.

We took a bus from Gangnam District and drove 40 kilometers in about an hour. The transportation was quite convenient. We booked tickets online and scanned the code to enter the park, which was very convenient.","Everland is the leading amusement park in South Korea. It is invested by Samsung Group and has been open for more than ten years. It has always been very popular. For this reason, we specially chose a non-weekend time. We took a bus from Gangnam District and drove 40 kilometers in about an hour. The transportation was quite convenient. We booked tickets online and scanned the code to enter the park, which was very convenient.",429,75,높음(4-5),1,2019,4,27,Saturday,5,2019-04,0,0,"convenient, park, enter park, south korea, south",0.4845987296200771,0.25362826100538366,0.4513347062666951,-0.011917721419484693,-0.03817486590095232,0.12627330796621336,0.15125920044361116,-0.051007279763427296,0.18930532798564242,-0.013338500122862931,0.024837533289527314,0.05375537704630522,0.14199938617867247,-0.05959559910063251,0.08818160737360436,-0.29612828312135964,-0.034776789970296464,-0.018522494033996664,-0.0633381429242561,-0.09734252157318404
5.0,2024-08-05,"Everland is a large amusement park located in Yongin, South Korea. It is one of the most popular tourist destinations in the country and offers a wide variety of attractions, including thrill rides, themed zones, a zoo, and seasonal festivals. Some of its well-known areas include:Global Fair: The entrance area with shops, restaurants, and various services.Zoo-Topia: A zone featuring a zoo, petting zoo, and animal shows.European Adventure: This area is themed around Europe and includes attrac","Everland is a large amusement park located in Yongin, South Korea. It is one of the most popular tourist destinations in the country and offers a wide variety of attractions, including thrill rides, themed zones, a zoo, and seasonal festivals. Some of its well-known areas include:Global Fair: The entrance area with shops, restaurants, and various services.Zoo-Topia: A zone featuring a zoo, petting zoo, and animal shows.European Adventure: This area is themed around Europe and includes attrac",496,76,높음(4-5),1,2024,8,5,Monday,0,2024-08,0,0,"zoo, area, adventure, entrance, south korea",0.3077563435397473,-0.17322975263209262,0.36046263890520447,-0.06768506921920553,0.1290694640876393,0.03215256204294826,0.006949845567796601,-0.09813253746532481,-0.006258750559860035,0.04863720859912504,0.05422516935763477,-0.040201266114997775,0.018354641379880462,0.04430778930902027,-0.07230150303300999,0.006684769531124515,-0.03693180380167755,-0.021421648192979988,-0.15507406994729864,-0.05310466125024043
5.0,2023-06-30,"Everland is far from the city, but the ticket price is very cost-effective. There are areas and projects that you can't finish playing in a whole day for less than 200 yuan. The zoo area is very large, and the panda area is a must-visit for Chinese people. Before Fubao returns to China next year, she will go to see her and her two grandfathers who love her like a treasure. Grandpa Song saw it once, and usually there are several other handsome staff members on duty. I went to the panda house to see it twice, once in the morning and afternoon. My friend went to ride the wooden roller coaster and said it was too scary. I don't want to ride it twice again. This brave guy will also be afraid, hehe! In addition, I queued for nearly 40 minutes to play an interesting project of outdoor car watching wild animals. There are more than a dozen tigers, lions and bears in that area, which are raised freely and wandering around. There is also a small sea world, where the whole penguin family is wandering around, and the performances of several well-trained sea lions are quite interesting. There is a free bus from the park to the bus station for transportation. The bus can go to the city, and then transfer back to the hotel, which is relatively close. In short, it was a pleasant day.","Everland is far from the city, but the ticket price is very cost-effective. There are areas and projects that you can't finish playing in a whole day for less than 200 yuan. The zoo area is very large, and the panda area is a must-visit for Chinese people. Before Fubao returns to China next year, she will go to see her and her two grandfathers who love her like a treasure. Grandpa Song saw it once, and usually there are several other handsome staff members on duty. I went to the panda house to see it twice, once in the morning and afternoon. My friend went to ride the wooden roller coaster and said it was too scary. I don't want to ride it twice again. This brave guy will also be afraid, hehe! In addition, I queued for nearly 40 minutes to play an interesting project of outdoor car watching wild animals. There are more than a dozen tigers, lions and bears in that area, which are raised freely and wandering around. There is also a small sea world, where the whole penguin family is wandering around, and the performances of several well-trained sea lions are quite interesting. There is a free bus from the park to the bus station for transportation. The bus can go to the city, and then transfer back to the hotel, which is relatively close. In short, it was a pleasant day.",1288,238,높음(4-5),1,2023,6,30,Friday,4,2023-06,0,0,"area, bus, panda, ride, went",0.4588849021783089,0.11343301591991482,-0.1006973591089918,-0.11438003188130473,-0.09155644160075062,0.05130178512407953,-0.22893284687816204,-0.2856554454163662,-0.10353973427216623,-0.013006290547333712,0.014992697974624339,-0.054580815632702444,0.10640437475261273,-0.06126854919706216,0.006758736349998722,0.16492386900115635,0.06650967331711874,-0.15879791274540547,0.07333371822419381,0.04492070296242821
